Name,Order,Team,_id,imageURL,owner,playerID,price
Lokesh Rahul,1,Lucknow Super Giants,6237432cbc98f09d4442ccae,https://www.cricket.com.au/-/media/Players/Men/International/India/ODIWC19/KL-Rahul-CWC19-copy.ashx,Tim,47,14
Jos Buttler,5,Rajasthan Royals,6237432cbc98f09d4442ccb2,https://www.cricket.com.au/-/media/Players/Men/Domestic/Sydney%20Thunder/BBL08/Jos_Buttler_BBL08.ashx,Stark,143,17
Jasprit Bumrah,2,Mumbai Indians,6237432cbc98f09d4442ccaf,https://www.cricket.com.au/-/media/Players/Men/International/India/ODIWC19/Jasprit-Bumrah-CWC19.ashx,Eric Wedge-Bull,284,15
Prithvi Shaw,7,Delhi Capitals,6237432cbc98f09d4442ccb4,https://iplstatic.s3.amazonaws.com/players/284/3764.png,Stark,48,10
Rishabh Pant,9,Delhi Capitals,6237432cbc98f09d4442ccb6,https://www.cricket.com.au/-/media/Players/Men/International/India/Rishabh_Pant_T2018.ashx,Alex Bowden,53,8
Mayank Agarwal,13,Punjab Lions,6237432cbc98f09d4442ccba,https://www.cricket.com.au/-/media/Players/Men/International/India/Mayank_Agarwal_Test1819.ashx,Eric Wedge-Bull,49,6
Moeen Ali,16,Chennai Super Kings,6237432cbc98f09d4442ccbd,https://www.cricket.com.au/-/media/Players/Men/International/England/Moeen-Ali-CWC19.ashx,Alex Bowden,131,9
Faf du Plessis,25,Royal Challengers Bangalore,6237432cbc98f09d4442ccc6,https://www.cricket.com.au/-/media/Players/Men/International/South%20Africa/Faf-du-Plessis-CWC19.ashx,Stark,75,8
Trent Boult,29,Rajasthan Royals,6237432cbc98f09d4442ccca,https://www.cricket.com.au/-/media/Players/Men/International/New%20Zealand/ODI%201920/Trent-Boult-1920.ashx,Eric Wedge-Bull,221,5
SuryaKumar Yadav,32,Mumbai Indians,6237432cbc98f09d4442cccd,https://iplstatic.s3.amazonaws.com/players/284/108.png,Alex Bowden,2879,5
Yuzvendra Chahal,33,Rajasthan Royals,6237432cbc98f09d4442ccce,https://www.cricket.com.au/-/media/Players/Men/International/India/ODIWC19/Yuvendra-Chahal-CWC19.ashx,Tim,273,5
Axar Patel,35,Delhi Capitals,6237432cbc98f09d4442ccd0,https://www.cricket.com.au/-/media/Players/Men/International/India/Axar-Patel-ODI-2016.ashx,Eric Wedge-Bull,815,3
Lockie Ferguson,39,Gujarat Titans,6237432cbc98f09d4442ccd4,https://www.cricket.com.au/-/media/Players/Men/International/New%20Zealand/ODI%201920/Lockie-Ferguson-1920.ashx,Tim,223,8
Ravi Bishnoi,41,Lucknow Super Giants,6237432cbc98f09d4442ccd6,https://storage.googleapis.com/cricketimages/Players/16E.png,Alex Bowden,9459,6
Wanindu Hasaranga,42,Royal Challengers Bangalore,6237432cbc98f09d4442ccd7,https://www.espncricinfo.com/db/PICTURES/CMS/322900/322946.square.png,Tim,4916,11
Liam Livingstone,45,Punjab Lions,6237432cbc98f09d4442ccda,https://resources.ecb.co.uk/player-photos/t20i/480x480/3644.png,Eric Wedge-Bull,780,9
Dinesh Karthik,49,Royal Challengers Bangalore,6237432cbc98f09d4442ccde,https://www.cricket.com.au/-/media/Players/Men/International/India/ODIWC19/Dinesh-Karthik-CWC19.ashx,teamless,275,0
Matthew Wade,55,Gujarat Titans,6237432cbc98f09d4442cce4,https://www.cricket.com.au/-/media/Players/Men/International/Australia/Matthew-Wade-ODI2020.ashx,Stark,426,3
Dewald Brevis,59,Mumbai Indians,6237432cbc98f09d4442cce8,https://www.espncricinfo.com/db/PICTURES/CMS/335100/335134.png,teamless,99989,0
Jason Holder,62,Lucknow Super Giants,6237432cbc98f09d4442cceb,https://www.cricket.com.au/-/media/Players/Men/International/West%20Indies/ODIWC19/Jason-Holder-CWC19.ashx,Tim,100,2
Tim David,65,Mumbai Indians,6237432cbc98f09d4442ccee,https://www.perthscorchers.com.au/-/media/Players/Men/Domestic/Hobart%20Hurricanes/BBL11/Tim-David-2122.ashx,Alex Bowden,617,1
Dwaine Pretorius,67,Chennai Super Kings,6237432cbc98f09d4442ccf0,https://www.bigbash.com.au/-/media/Players/Men/International/South%20Africa/Dwaine-Pretorius-CWC19.ashx,teamless,658,0
Maheesh Theekshana,68,Chennai Super Kings,6237432cbc98f09d4442ccf1,https://www.bigbash.com.au/-/media/Players/Men/International/Sri%20Lanka/2021-22%20T20Is/Maheesh-Theekshana-2122.ashx,teamless,21942,0
Rahul Tewatia,71,Gujarat Titans,6237432cbc98f09d4442ccf4,https://parimatchnews.com/wp-content/uploads/2021/03/1749.png,teamless,2927,0
Josh Hazlewood,74,Royal Challengers Bangalore,6237432cbc98f09d4442ccf7,https://www.cricket.com.au/-/media/Players/Men/International/Australia/Josh-Hazlewood-ODI2020.ashx,Eric Wedge-Bull,191,1
Adam Milne,79,Chennai Super Kings,6237432cbc98f09d4442ccfc,https://storage.googleapis.com/cricketimages/Players/8B.png,teamless,215,0
Rovman Powell,81,Delhi Capitals,6237432cbc98f09d4442ccfe,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,teamless,118,0
Dushmantha Chameera,96,Lucknow Super Giants,6237432cbc98f09d4442cd0d,https://www.espncricinfo.com/db/PICTURES/CMS/319800/319862.png,teamless,170,0
Nathan Ellis,103,Punjab Lions,6237432cbc98f09d4442cd14,https://www.hobarthurricanes.com.au/-/media/Players/Men/Domestic/Hobart%20Hurricanes/BBL11/Nathan-Ellis-2122.ashx,teamless,9906,0
Sherfane Rutherford,107,Royal Challengers Bangalore,6237432cbc98f09d4442cd18,https://www.royalchallengers.com/PRRCB01/public/2022-02/Sherfane%20Rutherford.png,teamless,128,0
